排名,单词,频次,出现卷数,音标,释义,同义词,例句(英),例句(中),词库来源
493,principle,31,14,/ˈprɪnsəpl/,n.原则,theory / mechanism / element / essence / parent,Schools try to teach children a set of principles.,学校设法教给孩子们一套道德准则。,CET6_1
494,launch,31,11,/lɔ:ntʃ/,v.发布，推出,release / send / project / drive / let go,The company hopes to launch the new drug by next October.,公司希望于明年10月前推出这种新药。,CET6_1
495,practice,31,25,/ˈpræktɪs/,n.做法,tradition / convention / usage / exercise / exercise,religious beliefs and practices,宗教信仰和习俗,CET6_1
496,graduate,31,14,/ˈɡradʒʊeɪt/,adj.研究生的  v.毕业  n.毕业生；研究生,shadow / to finish school / postgraduate / advanced student / school-leaving,a graduate student,研究生,CET6_3
497,colleague,31,20,/'kɒliːg/,n.同事， 同僚,brother / fellow / associate,a colleague of mine from the bank,我在银行的一位同事,CET6_3
498,device,31,13,/dɪ'vaɪs/,n.器械， 装置； 设计； 手段， 策略,apparatus / installation / strategy / unit / gear,modern labour-saving devices,省力的现代设备,CET6_3
499,certain,31,20,/'sɜːt(ə)n; -tɪn/,adj.确实的；肯定的,inevitable / some / necessary / automatic / secure,I felt certain that I’d passed the test.,我感觉自己肯定通过这次测验了。,CET4_2
500,depend,30,22,/dɪ'pend/,v.依靠，依赖；相信,hope / tie to,He depended on his writing for his income.,他靠写作谋生。,CET4_2
501,let,30,20,/let/,v.允许，让；使,have / say / grant / rent / suppose,I can’t come out tonight – my dad won’t let me.,今天晚上我不能出来，我爸爸不允许。,CET4_2
502,easily,30,24,/'iːzɪlɪ/,adv.容易地；舒适的,clearly / no doubt / readily / lightly,They won quite easily.,他们赢得相当轻松。,CET4_2
503,serve,30,25,,vt.为…服务；招待,,There was only one girl serving customers .,只有一个女孩在接待顾客。,CET4_2
504,watch,30,18,/wɒtʃ/,v.观察；注视；看守；警戒  n.手表；监视；守护；值班人,protect / look into / observation / monitoring / surveillance,Do you mind if I watch?,你介意我看着吗？,KaoYan_2
505,status,30,16,/'steɪtəs/,n.地位， 身份； 情形， 状况,capacity / ranking,These documents have no legal status in Britain.,这些文件在英国并无法律效力。,CET6_3
506,source,30,21,/sɔːs/,n.来源,provenience / authorship,They get their money from various sources.,他们从各种途径弄到钱。,CET4_1
507,love,30,15,/lʌv/,v.爱，喜欢  n.爱,passion / amativeness / worship / take a fancy to,"I love you, Tracy.",我爱你，特雷西。,CET4_2
508,limit,30,18,/'lɪmɪt/,n.限度；限制；范围,restriction / qualification / barrier / block / to bound,a 55 mph speed limit,55英里的时速限制,CET4_2
509,store,30,13,/stɔː/,n.贮藏；贮存品；商店,shop / reserve / warehouse / market / reposit,At Christmas the stores stay open late.,在圣诞节期间，商店营业到很晚。,CET4_2
510,screen,30,9,/skri:n/,v.筛查,curtain / creen / project / ree / shoot,All women over 50 will be regularly screened.,所有50岁以上女性都将定期接受检查。,CET4_1
511,survey,30,18,/'sɜːveɪ/,v.俯瞰， 眺望； 全面审视， 调查； 测量， 勘定  n.[sə'veɪ],investigation / measurement / probe / research / examine,"Of the 100 companies surveyed, 10% had a turnover of £50 m to £99 m.","被调查的 100 家公司中，10% 的公司营业额在 5,000 万到 9,900 万英镑之间。",CET6_3
512,internet,30,10,/'ɪntənet/,n.因特网,,,,KaoYan_2
513,unique,30,20,/juː'niːk/,adj.无可匹敌的；极好的,distinct / individual / one / sole / picturesque,a unique opportunity to study these rare creatures,研究这些珍稀动物的难得机会,CET6_2
514,subject,30,16,/ˈsʌbdʒɪkt/,v.使隶属,topic / theme / nation / titles / motive,The Roman Empire subjected most of Europe to its rule.,罗马帝国把欧洲多数地区置于自己的统治之下。,CET6_2
515,financial,29,20,/faɪ'nænʃl/,adj.财政的， 金融的,monetary / fiscal,financial transactions,财务往来,CET6_3
516,slow,29,22,/sləʊ/,"adj.慢的,不活跃的  v.(down)(使)放慢,减速",dull / moderative / stagnate / impede / block up,The car was travelling at a very slow speed.,汽车正以非常慢的速度行驶。,KaoYan_1
517,balance,29,17,/'bæl(ə)ns/,v.使平衡；称  n.天平,regularity / equilibriums / equilibrize / close an account / suit,Job losses in manufacturing were balanced by job increases in the service sector.,制造业职位减少了，而服务行业就业机会却增加了，正好相抵。,CET4_2
518,earth,29,14,/ɜːθ/,n.地球；陆地，地面,land / clay / dirt,the planet Earth,地球,CET4_2
519,oil,29,10,/ɒɪl/,n.油；石油  v.加油于,petroleum / geoline / gas / melt / thaw out,a rise in the price of oil,石油价格的上涨,CET4_2
520,difficult,29,22,/'dɪfɪk(ə)lt/,adj.难以满足的,hard / tough,Don’t be so difficult!,别这么挑剔！,CET6_2
521,note,29,20,/nəʊt/,n.笔记；便条；注释,bill / minute / William / watching / register,Can I borrow your lecture notes?,我能不能借用一下你的课堂笔记？,CET4_2
522,solution,29,18,/səˈlu:ʃn/,n.解决，溶液,liquor / dissolution,The best solution would be for them to separate.,最好的解决方法是他们分开。,CET6_1
523,explore,29,24,/ɪk'splɔː/,v.探险， 探索； 仔细查阅， 探究,detect / probe into / probe into / search after,Management need to explore ways of improving office security.,管理层需要探讨如何加强办事处的安全措施。,CET6_3
524,address,29,19,/ə'dres/,v.解决,undertake / pursue / have / speech / lecture,,,CET6_1
525,matter,29,21,/'mætə(r)/,v.重要；要紧,substance / event / consideration / circumstance / occurrence,"If I have to stay late at work tonight, it won’t matter because we can go out another night.",如果今晚我必须工作到很晚的话，那也没关系，我们可以改天晚上再出去。,CET6_1
526,top,29,15,/tɒp/,n.顶部，顶端；上部；首席；陀螺  v.高出，超越；结束；达到顶点  adj.最高的，顶上的；头等的,roof / coping / tower over / move beyond / better than,a low wooden table with a glass top,玻璃桌面的矮木桌,GaoZhong_2
527,month,29,21,/mʌnθ/,n.月，月份,Diana,I hope I’ll have finished the work by the end of the month .,我希望我这个月底能完成工作。,CET4_2
528,tech,29,9,/tek/,n.技术；科技（technology 的缩写）,,The tech industry is growing fast.,科技行业发展迅速。,manual
529,plant,29,14,/plɑːnt/,n.工厂,factory / equipment / furniture / facility / mill,a huge chemical plant,一座大型化工厂,CET4_1
530,along,29,18,/ə'lɒŋ/,prep.沿着  adv.向前,forth / together / to / ahead / front,We were driving along Follyfoot Road.,我们沿着福莱福特路行驶。,CET4_2
531,strategy,29,18,/'strætədʒɪ/,n.策略,device / tactic,the government’s long-term economic strategy,政府的长期经济策略,CET6_1
532,appeal,29,14,/əˈpiːl/,"n.请求，呼吁, 上诉",attract / clamour for / asking / request / motion,The girl’s family have made a public appeal for help to try and catch her killer.,那名遇害女孩的家人吁请公众协助捉拿凶手。,CET6_1
533,variety,29,15,/və'raɪətɪ/,n.多样,category / manner / nature / kind / sort,The girls come from a variety of different backgrounds.,这些女孩出身背景各不相同。,CET4_1
534,kid,29,14,/kɪd/,n.小孩，儿童，少年,kiddie / pickin / sell / guy / fox,She’d always loved animals since she was a little kid.,她从小就喜爱动物。,CET4_2
535,copy,29,18,/'kɒpɪ/,n.抄件  v.抄写，复制,to duplicate / print off / repeat / lift / repeat,back-up copies of your files,你的文档的备份,CET4_2
536,private,28,14,/'praɪvət/,adj.私人的,chamber / cabinet / seaman second class,Morris has a private jet.,莫里斯拥有一架私人喷气式飞机。,CET6_1
537,exercise,28,13,/'eksəsaɪz/,n.锻炼，训练  v.练习,movement / sport / ceremony / campaign / practice,Try to fit some regular exercise into your daily routine.,尽量在日常生活中安排一些经常性的锻炼。,CET4_2
538,manage,28,21,/'mænɪdʒ/,v.管理；设法；对付,possess / run / regulate / conduct / direct,He was asked to manage a new department.,他被要求去管理一个新的部门。,CET4_2
539,income,28,11,/'ɪnkʌm/,n.收入；收益；进款,revenue / proceeds / earning / yield / receipt,low-income families,低收入家庭,CET4_2
540,agriculture,28,10,/'ægrɪkʌltʃə/,n.农业，农艺；农学,farming / extractive industry,More than 75% of the land is used for agriculture.,75%以上的土地用于农耕。,CET4_2
541,fall,28,21,/fɔːl/,v.变成，成为，陷入,become / come / lower / reduction / decline,He had fallen asleep on the sofa.,他在沙发上睡着了。,CET6_2
542,cut,28,20,/kʌt/,v.切，割，剪；减少,shorten / bite / intersect / wound / incision,They’re introducing CCTV cameras in an attempt to cut street crime in the area.,为了减少该地区的街头犯罪，他们安装了闭路电视摄像机。,CET4_2
543,really,28,23,,adv.真正地；实在,,,,CET4_2
544,agree,28,15,/ə'griː/,v.同意；持相同意见,undertake / accept / recognize / side / grant,Teenagers and their parents rarely agree.,十几岁的孩子跟父母意见很少一致。,CET4_2
545,connect,28,19,/kə'nekt/,v.连接，连结；联系,couple / hand in hand / band / combine,We’d like two rooms with connecting doors (= doors that join the rooms ) .,我们想要两个有门相通的房间。,CET4_2
546,engage,28,19,/ɪn'ɡeɪdʒ/,v.忙于，从事；雇佣,attract / absorb / draw / appropriate / budget,I have never engaged in drug trafficking.,我从来没有从事过贩毒。,CET6_1
547,key,28,23,/kiː/,n.钥匙；键；答案,digital / crux / lock / keyboard / pivotal,A bunch of keys hung from his belt.,他的皮带上挂着一串钥匙。,CET4_2
548,event,28,16,/ɪ'vent/,n.事件，大事；事变,incident / occurrence / circumstance / outcome / item,one of the most important events in the history of mankind,人类历史上最重大的事件之一,CET4_2
549,trend,27,17,/trend/,n.趋势,tendency / tide / direction / liability / set,The current trend is towards more part-time employment.,当前的趋势是雇用更多的兼职人员。,CET6_1
550,reality,27,18,/rɪ'ælɪtɪ/,n.现实；真实,fact / actuality / sincerity / true,the distinction between fantasy and reality,幻想和现实之间的区别,CET4_2
551,reward,27,17,/rɪ'wɔːd/,n.报答，奖赏；报酬，酬金  vt.报答， 酬谢， 奖励,compensation / payment / consideration / return / remuneration,The school has a system of rewards and punishments to encourage good behaviour.,学校有奖惩制度以鼓励良好行为。,CET6_3
552,ensure,27,20,/ɪn'ʃʊə(r)/,v.确保,undertake / assure / insure,facilities to ensure the safety of cyclists,确保骑车人安全的设施,CET4_1
553,popular,27,18,/'pɒpjʊlə/,adj.民众的；流行的,democratic / fashionable / going / welcome / pop,Hilary was popular at school.,希拉里在学校里很受欢迎。,CET4_2
554,within,27,17,/wɪð'ɪn/,prep.在…之内  adv.在内部  n.里面,in / inside / interiorly / inwardly / inside,We should have the test results back within 24 hours.,我们24小时之内应该可以拿到化验结果。,GaoZhong_2
555,next,27,21,/nekst/,adj.紧接的；贴近的,secondly / then / afterwards / following / posterior,Grace sighed so heavily that Trish could hear it in the next room.,格雷丝沉重地叹气，特蕾什在隔壁房间都听到了。,CET4_2
556,expensive,27,17,/ɪk'spensɪv; ek-/,adj.昂贵的，花钱多的,rich / dear / costly,the most expensive restaurant in town,城里最贵的餐馆,CET4_2
557,sometimes,27,21,/'sʌmtaɪmz/,adv.不时，有时，间或,occasionally / betweentimes,I sometimes have to work late.,我有时得工作到很晚。,KaoYan_1
558,label,27,6,/'leɪbl/,n.标签，标记，符号  vt.贴标签于； 把…称为,ticket / brand / logo / tag,a luggage label,行李标签,CET6_3
559,campus,27,10,/'kæmpəs/,n.校园，学校场地,schoolyard / college life,a beautiful campus in New England,新英格兰的一个美丽校园,CET4_2
560,creative,27,12,/kriː'eɪtɪv/,adj.创造性的，创作的,,This job is so boring. I wish I could do something more creative.,这工作太单调了，我希望能做些更有创造性的事情。,CET4_2
561,concept,27,18,/'kɒnsept/,n.概念， 观念； 设想,idea / sense / notion / construct,a new concept in business travel,商务旅行的新理念,CET6_3
562,video,27,8,/'vɪdɪəʊ/,adj.录像的,television / Vedio / televisual / to produce,video production,录像制作,CET6_2
563,board,27,13,/bɔ:d/,n.董事会,meal / directorate / attend / guest / stay over,a board meeting,董事会会议,CET6_1
564,network,27,16,/'netwɜːk/,n.网络；广播网,net / meshwork,a high-speed European rail network,欧洲的高速铁路网,CET6_2
565,check,26,15,/tʃek/,v.检查；阻止,examine / inspect / review / park / prevention,Check the tiles carefully before you buy them.,购买之前要把瓷砖仔细检查一下。,CET6_1
566,current,26,18,/'kʌrənt/,adj.当前的，通用的；流行的，流传的  n.潮流； 电流； 趋势， 倾向,recent / now / universal / late / present,the current President,现任总统,CET6_3
567,sign,26,20,/saɪn/,n.征兆，迹象，病症,symbol / breath / evidence / mark / motion,A paw print in the dust was a sign that a tiger was close.,沙土里的一个爪印表明附近有老虎。,CET6_2
568,argue,26,17,/'ɑːgjuː/,vi.争论，争辩，辩论  vt.主张； 说服,debate / dispute about / debate / discuss / demonstrate,We could hear the neighbours arguing.,我们听到邻居在争吵。,CET6_3
569,protection,26,15,/prə'tekʃ(ə)n/,n.保护，警戒,lee / safeguard / conservation / defence / pass,protection money,保护费,CET4_2
570,throughout,26,19,/θruː'aʊt/,prep.遍及  adv.到处,everywhere / around / wholly / about / over all,a large organization with offices throughout the world,在世界各地都设有办事处的一家大型机构,CET4_2
571,modern,26,16,/'mɒd(ə)n/,adj.现代的，近代的,recent / fashionable / in / tony / Homo sapiens sapiens,Such companies must change if they are to compete in the modern world .,此类公司如果想在现代社会中与别人竞争，就必须有所改变。,CET4_2
572,relate,26,23,/rɪ'leɪt/,v.叙述；使联系,narrate / recount / deal with / identify,I don’t understand how the two ideas relate.,我不明白这两个观点有什么联系。,CET4_2
573,sound,26,19,/saʊnd/,adj.健康的；完好的,hear / feel / scale / voice / speech,a sound understanding of money and banking systems,对货币和银行业体制的透彻理解,CET4_2
574,analysis,26,13,/ə'næləsɪs/,n.分析， 分析报告； 分解， 解析,decomposition / dissolution,She’s been in analysis for three years.,她接受精神分析治疗已经三年了。,CET6_3
575,conflict,26,15,/'kɒnflɪkt/,n.冲突,interference / difference / war / battle / collision,the threat of industrial conflict in the coalfields,煤田发生劳资纠纷的风险,CET6_1
576,professional,26,20,/prə'feʃənl/,adj.职业的，专业的，专门的  n.自由职业者， 专业人员,vocational / specialized / occupational / career man,This business plan looks very professional.,这个商业计划看上去很有专业水平。,CET6_3
577,basic,26,17,/'beɪsɪk/,adj.基本的，基础的,elementary / fundamental / essential / primary / first,the basic principles of chemistry,化学的基本原理,CET4_2
578,responsible,26,16,/rɪ'spɒnsɪb(ə)l/,adj.可靠的；责任重大的,honest / reliable / tried / safe / sure,You can leave the children with Billy – he’s very responsible.,你可以把孩子交给比利，他非常可靠。,CET6_2
579,monitor,26,11,/'mɒnɪtə/,n.班长；监视器，检测器；显示器  vt.监听， 检测,detectophone / invigilator,a heart monitor,心脏监测仪,CET6_3
580,production,26,13,/prə'dʌkʃ(ə)n/,n.生产；产品；总产量,feedback / outcome / writing / manufacture / work,That model won't go into production before late 2007.,那种型号要到2007年底才会投入生产。,CET4_2
581,inequality,26,9,/ɪnɪ'kwɒlɪtɪ/,n.不平等；不同；不平均,difference / disparity,People are concerned about corruption and social inequality.,人们对腐败和社会不公感到担忧。,Level8_2
582,grade,26,11,/greɪd/,v.给…分等级  n.等级,degree / classes / stage / phase / rate,All the parks are regularly checked and graded by tourist board inspectors.,所有公园都由旅游协会的检查员进行定期检查和评级。,CET4_2
583,sit,26,14,/sɪt/,v.坐；位于  n.(Sit)人名；(东南亚国家华语)硕；(罗)西特,lie on / be located on,The parliament building sits in a large square.,议会大楼位于一个大广场上。,KaoYan_2
584,international,26,14,/ɪntə'næʃ(ə)n(ə)l/,adj.国际的，世界(性)的,mundane,the response of the international community,国际社会的反响,CET4_2
585,respect,26,19,/rɪ'spekt/,n.尊敬；尊重；问候；方面  vt.尊敬； 尊重,estimation / aspect / regard / side / worship,The boys showed a complete lack of respect for authority.,这些男孩子根本无视权威。,CET4_3
586,actor,26,5,/'æktə/,n.男演员；演剧的人,,His father was an actor in the Cantonese Opera Company.,他父亲曾是粤剧团的一名演员。,CET4_2
587,nature,25,18,/'neɪtʃə/,n.大自然；本性；性质,property / category / variety / manner / kind,"We grew up in the countryside, surrounded by the beauties of nature.",我们在乡村长大，周围是美丽的大自然。,CET4_2
588,seek,25,18,/siːk/,v.寻找，探索；试图,explore / try to find / explore / cast about for,new graduates seeking employment,正在求职的刚毕业的大学生,CET4_2
589,perhaps,25,21,/pə'hæps/,adv.也许，可能，多半,maybe / possibly / like / assumption / presupposition,Perhaps she’s next door.,她也许在隔壁。,CET4_2
590,alone,25,19,/ə'ləʊn/,adj.单独的  adv.单独地,independent / isolated / separate / sole / respectively,She lives alone .,她一个人生活。,CET4_2
591,several,25,21,/ˈsevrəl/,adj.几个的；各自的  pron.几个；数个,respective / each,They shook hands and went their several ways (= went in different directions ) .,他们握了握手便各自走了。,GaoZhong_2
592,ever,25,19,/'evə/,adv.在任何时候；曾经,forever / always / once,Nothing ever seems to upset him.,似乎从来没有什么事情会使他烦恼。,CET4_2
593,perform,25,19,/pə'fɔːm/,v.履行，执行；演出,accomplish / implement / achieve / complete / fulfil,Chenier and the band are performing at the Silver Palace tomorrow.,车尼尔和乐队明天将在银宫演出。,CET4_2
594,billion,25,15,/'bɪljən/,num.万亿(英),lots of / wealth / ocean / sea / body,The final cost could be as much as one billion dollars.,最后的费用可能高达十亿美元。,CET4_2
595,rely,25,18,/rɪ'laɪ/,vi.依靠， 依赖； 信赖， 指望,trust / hope,They relied heavily on the advice of their professional advisers.,他们非常依赖专业顾问的建议。,CET6_3
596,deal,25,19,/diːl/,v.买卖毒品,afford / allow / extend / deliver / part,Many users end up dealing to support their habit.,许多吸毒者最后都是靠做毒品买卖来供自己吸毒。,CET6_2
597,per,25,11,/pɜː/,prep.每,in accordance / in the light of,The park attracts four million visitors per year.,那座公园每年吸引400万游客。,CET4_2
598,apply,25,18,/ə'plaɪ/,vi.应用，实施，使用；适用；申请，请求  vt.涂， 敷， 施,put in for / enter one's name for / demand / put in for,We need to apply for planning permission to build a garage.,我们建车库需要申请规划许可。,CET6_3
599,boost,25,18,/bu:st/,v.提高,facilitate / promote / enhance / further / jack,"So go out there and boost your brainpower, your mind will thank you.",所以走出去提升你的智力，你的思想会感谢你自己。,CET6_1
600,hope,25,17,/həʊp/,n&vt&vi.希望,wish / pleasure / confidence / promise / anticipation,I do hope everything goes well.,我真心希望一切顺利。,CET4_2
601,senior,25,10,/'siːnɪə/,n.老年人,older / advanced / high / superior officer / nibs,Seniors can get a 10% discount.,老年人可以享受10%的折扣。,CET4_1
602,majority,25,14,/mə'dʒɒrətɪ/,n.大多数,plurality / multitude,The Labour Party won a huge majority at the last general election.,工党在上次大选中以巨大的票数优势获胜。,CET6_1
603,observe,25,17,/əb'zɜːv/,v.说，评述，评论,watch / quo / tell / talk / respect,"‘Sid looks ill,’ Doherty observed.",“锡德看上去病了。”多尔蒂说道。,CET6_2
604,people's,25,11,/ˈpiːplz/,人民的；大众的（people 的所有格）,,It is the people's right to vote.,投票是人民的权利。,manual
605,post,25,12,/pəʊst/,n.柱，桩，杆  v.贴出,mail / dak / paste / publish,a fence post,篱笆桩,CET4_2
606,professor,25,14,,n.教授,,The professor improvised a poem in the class.,教授在课堂上即兴创作了一首诗。,CET4_2
607,quite,25,21,/kwaɪt/,adv.完全；相当；的确,greatly / badly / too / far / powerful,I felt quite bitter about it at the time.,当时我对此感到相当痛苦。,CET4_2
608,tourist,25,8,/'tʊərɪst/,n.旅游者，观光者,traveler / farer / take a trip / look round sth,Cambridge is always full of tourists in the summer.,剑桥在夏季总是挤满了游客。,CET4_2
609,insect,25,7,/'ɪnsekt/,n.昆虫， 虫,ratfink / warb,an insect bite,昆虫的叮咬,CET6_3
610,classical,25,5,/'klæsɪkl/,adj.古典的， 经典的,traditional / conventional / royal / classic music,the classical theory of relativity,经典相对论,CET6_3
611,audience,25,8,/'ɔːdɪəns/,n.正式会见；拜会,reader / interview,He was granted an audience with the Pope.,他获准觐见教皇。,CET6_2
612,female,25,6,/'fiːmeɪl/,n.雌性的动物；女子,delicate / feminine / she / jenny,"As a group, females performed better on the test than males.",整体来说，女性在这次测试中胜过男性。,CET4_2
613,method,25,13,/'meθəd/,n.方法，办法；教学法,approach / way / system / medium / how,traditional teaching methods,传统的教学法,CET4_2
614,desire,25,17,/dɪ'zaɪə/,vt.想要，渴望  n.愿望， 欲望,requirement / wants / do / need / wish,The hotel has everything you could possibly desire .,这家酒店里你想要的东西应有尽有。,CET6_3
615,generally,24,23,/'dʒen(ə)rəlɪ/,adv.一般地；通常地,usually / mostly / commonly / currently / normally,"Generally speaking, the more expensive the stereo, the better it is.",一般说来，立体声音响越贵的越好。,CET4_2
616,diet,24,11,/'daɪət/,n.日常饮食，日常食物,eating / food and drink,She doesn’t eat a very healthy diet.,她的饮食不是很健康。,CET6_2
617,adolescent,24,6,/ˌædə'lesnt/,adj.青春期的； 青少年的  n.青少年,pubertal / hebetic / youths / teener,It is important that an adolescent boy should have an adult in whom he can confide.,一个青春期男孩应该有一个他能倾吐心声的成年人，这是很重要的。,CET6_3
618,ideal,24,12,/aɪ'diːəl/,adj.理想的，观念的，空想的  n.理想， 理想的东西,perfect / full / unreasonable / dream / pink,advice on how to reach your ideal weight,如何达到理想体重的建议,CET6_3
619,ecosystem,24,12,/'iːkəʊsɪstəm/,n.生态系统,ecological constellation / ecological systems,...the forest ecosystem.,…森林生态系统。,CET6_1
620,sea,24,10,/siː/,n.海；海洋；许多；大量,ocean / lots of / wealth / body / hundred,Jay stripped his clothes off and ran into the sea.,杰伊脱光衣服奔入海里。,KaoYan_2
621,land,24,14,/lænd/,n.陆地；土地  v.上岸,floor / continent / come in / get in,They own a lot of land.,他们拥有许多土地。,CET4_2
622,baby,24,12,/'beɪbɪ/,n.一家中年龄最小的人,infant / babe / pamper / indulge / small,Clare is the baby of the family.,克莱尔是家里最小的孩子。,CET6_2
623,user,24,10,/'juːzə/,n.用户,consumer buyer,road users,道路使用者,GaoZhong_2
624,amount,24,19,/ə'maʊnt/,n.总数；数量；和,foot / gross total / sum / quantity of / gross,Please pay the full amount (=  of money  ) by the end of the month.,请在月底前全额付清。,CET4_2
625,trade,24,8,/treɪd/,v.做买卖；交换,commerce / profession / employment / career / pursuit,They had to travel into town to trade the produce from their farm.,他们不得不到镇上去出售他们农场的产品。,CET6_2
626,interaction,24,19,/ˌɪntər'ækʃn/,n.互动,reciprocity / mutual effect,"But you only get the maximum benefit if you implement all of them, because their power comes from their interaction.",但您只能在实现所有方法的情况下获得最大收益，因为它们的力量来自它们之间的交互。,CET6_1
627,disease,24,14,/dɪ'ziːz/,n.病， 疾病； 不健全， 弊端,illness / ill / sickness / complaint / to infect,His father died of heart disease.,他父亲死于心脏病。,CET6_3
628,paint,24,12,/peɪnt/,v.画；油漆  v.绘画,represent / hang / trace / figure / color,The ceiling needs painting.,天花板需要粉刷了。,CET4_2
629,describe,24,17,/dɪ'skraɪb/,vt.形容， 描写； 画出,represent / trace / figure / depict,The police asked her to describe the man.,警察叫她描述一下那名男子。,CET6_3
630,aim,24,17,/eɪm/,v.瞄准，针对；致力,be calculated to / boot / propose / to intend / intention,Denver aimed his gun but did not shoot.,丹佛举枪瞄准，但是没有射击。,CET4_2
631,signal,24,8,/'sɪɡnəl/,v.标志,high sign / alarm-word / mark / obvious / prominent,,,CET6_1
632,shop,24,13,/ʃɒp/,n.商店；店铺  v.购物,store / market / make a purchase / make a purchase,a barber’s shop,理发店,KaoYan_2
633,significant,24,21,/sɪgˈnɪfɪkənt/,adj.重要的,valid / important / available / effective / virtual,His most significant political achievement was the abolition of the death penalty.,他政治上最重大的成就是废除了死刑。,CET6_1
634,add,24,20,/æd/,v.添加，附加，掺加,improve / gain / accelerate / enhance / boost,"If the mixture seems dry, add water.",如果混合物看上去干，加点水。,CET4_2
635,psychology,24,9,,n.心理学；心理,,experts in the field of developmental psychology,发展心理学领域的专家,CET6_2
636,introduce,24,15,/ɪntrə'djuːs/,v.提出（议案等）,present / recommend / prefer / file / advance,Several senators introduced legislation aimed at sexual harassment.,几位参议员提交了针对性骚扰的立法议案。,CET6_2
637,type,24,15,/taɪp/,n.型，类型  v.打字,description / style / fashion / model / prototype,Jo’s not really the sporty type.,乔可不是那种喜欢运动的人。,CET4_2
638,occur,24,16,/əˈkɜ:(r)/,v.发生,happen / exist / proceed / figure / offer,A third of accidental deaths occur in the home.,有三分之一的意外死亡发生在家里。,CET6_1
639,region,24,13,/'riːdʒən/,n.地区， 地带， 区域； 范围， 幅度,area / extent / boundary / zone / spectrum,efforts to bring peace to the region,给这个地区带来和平的努力,CET6_3
640,spider,24,2,/'spaɪdə/,n.蜘蛛,araneid / tripod,What should I find but an enormous spider!,我居然发现了一只巨大的蜘蛛！,CET4_3
641,pressure,23,15,/'preʃə/,n.大气压力,heat / compression force / reduce to / compel,A ridge of high pressure is building up strongly over the Atlantic.,一个强大的高压脊正在大西洋上空形成。,CET6_2
642,safe,23,18,/seɪf/,adj.安全的；可靠的；平安的  n.保险箱；冷藏室；纱橱,responsible / secure / honest / reliable / tried,She doesn’t feel safe in the house on her own.,她独自一人在家感到不安全。,KaoYan_2
643,adopt,23,21,/ə'dɒpt/,v.采纳,assume / take in sth,The courts were asked to adopt a more flexible approach to young offenders.,法庭被要求对少年犯采取更为灵活的处理方法。,CET6_1
644,TRUE,23,20,/truː/,adj.真实的；正确的  adv.真实地；准确地  n.真实；准确  v.装准,actual / sincere / genuine / real / right,Everything I had heard about him was true.,我所听到的关于他的一切都是真的。,GaoZhong_2
645,wealth,23,12,/welθ/,n.财富； 财产； 丰富,treasure / lots of / ocean / money / fortune,The country’s wealth comes from its oil.,这个国家的财富来自石油。,CET6_3
646,supply,23,14,/sə'plaɪ/,n&vt.供给， 供应,provision / furnishing / afford / tender / lend,The nation’s fuel supplies will not last forever.,这个国家的燃料供应不会无穷无尽。,CET4_3
647,rat,23,16,/ræt/,n.老鼠，耗子,traitor / betrayer / mouse / inform,"But you promised to help us, you rat!",可你答应过要帮我们的，你这小人！,CET4_2
648,failure,23,16,/'feɪljə/,n.失败；失败的人,loss / defeat / losing / fault / trouble,Successful people often aren’t very good at dealing with failure.,一帆风顺的人往往不太擅长应对失败。,CET4_2
649,adapt,23,20,/ə'dæpt/,vt.使适应； 改编,condition / suit / season / adjust / accomodate to,The ability to adapt is a definite asset in this job.,适应能力是做这份工作的绝对有利条件。,CET6_3
650,week,23,16,/wiːk/,n.周，星期,Zhou / Chou,I can’t see you this week.,我这星期不能见你。,GaoZhong_2
651,damage,23,15,/'dæmɪdʒ/,v.损害，毁坏  n.损害,do harm to / let in for / injury / harm / lesion,insects that damage crops,破坏庄稼的昆虫,CET4_2
652,productivity,23,12,/ˌprɒdʌkˈtɪvəti/,n.生产力,fertility / productive forces,high productivity levels in manufacturing,制造业中的高生产率,CET6_1
653,shift,23,15,/ʃɪft/,v.转变,variation / removal / move / instrument / motion,Attitudes to mental illness have shifted in recent years.,对精神病的态度近年来已稍微有所改变。,CET6_1
654,vehicle,23,11,/ˈvi:əkl/,n.车辆,instrument / engine / tool / gear / implement,a description of the stolen vehicle,对被盗车辆的描述,CET6_1
655,fashion,23,9,/'fæʃ(ə)n/,n.样子，方式；风尚,mode / style / type / make use of / employ,Please leave the building in an orderly fashion.,请大家有秩序地离开大楼。,CET4_2
656,successful,23,14,/sək'sesfʊl; -f(ə)l/,adj.圆满的；顺利的；成功的,made / triumphant,The operation was successful.,手术成功了。,KaoYan_1
657,together,23,17,/tə'geðə/,adv.一起；同时；相互；连续地；总共  adj.新潮的；情绪稳定的，做事有效率的,along / meanwhile / candy,We’ve very much enjoyed working together .,我们在一起工作非常开心。,GaoZhong_2
658,guideline,23,9,/'gaɪdlaɪn/,n.指导原则,,This chapter gives you some guidelines to help you in your work.,本章将介绍一些指导性原则，为你的工作提供帮助。,CET4_1
659,carry,23,19,/'kærɪ/,v.刊登,encourage / have / hand / second / back,The morning paper carried a story about demonstrations in New York and Washington D.C.,晨报登载了纽约和华盛顿特区举行示威游行的报道。,CET6_2
