one	/wʌn/<br>num.一  pron.一个人<br>例: They had one daughter. 他们有一个女儿。
though	/ðəʊ/<br>adv.可是，虽然；不过；然而  conj.虽然；尽管  prep.但<br>例: Two heart attacks in a year. It hasn’t stopped him smoking, though. 一年里心脏病发作了两次，可是那也没让他把烟戒掉。
harm	/hɑ:m/<br>n & v.有害<br>例: The scandal did his career a lot of harm. 丑闻对他的职业生涯造成很大损害。
responsibility	/rɪˌspɒnsə'bɪlətɪ/<br>n.责任<br>例: Kelly’s promotion means more money and more responsibility. 凯利获得提升，这意味着钱多了，责任也更大了。
journal	/'dʒɜːn(ə)l/<br>n.日报，杂志；日志<br>例: the British Medical Journal 《英国医学杂志》
million	/'mɪljən/<br>num.百万  n.许多<br>例: The book sold more than a million copies. 这本书售出了一百多万册。
reflect	/rɪ'flekt/<br>v.思考，反映，反射<br>例: The drop in consumer spending reflects concern about the economy. 消费支出的下降反映出人们对经济的担忧。
picture	/'pɪktʃə/<br>n.画，图片  v.画<br>例: The room had several pictures on the walls. 那个房间墙上有几幅画。
healthy	/'helθɪ/<br>adj.健康的；有益健康的<br>例: a healthy baby boy 健康的男婴
sale	/seɪl/<br>n.销售；出售；拍卖；销售额；廉价出售<br>例: Harvey gets a $50 commission every time he makes a sale (= sells something as part of his job ) . 哈维每做成一笔生意可得到50美元的佣金。
workplace	/'wɜːkpleɪs/<br>n.工作场所；车间<br>例: ...the difficulties facing women in the workplace. …妇女在工作场所中面临的困难。
everyone	/'evrɪwʌn/<br>pron.每人，人人<br>例: If everyone is ready, I’ll begin. 如果大家都准备好了，我就开始。
situation	/sɪtjʊ'eɪʃ(ə)n/<br>n.（建筑物等的）位置<br>例: The house is in a charming situation, on a wooded hillside. 房子位于林木茂密的小山坡上，环境十分优美。
appear	/ə'pɪə/<br>v.出现；来到；似乎<br>例: Police have found what appear to be human remains. 警方发现了疑似人体遗骸的东西。
fail	/feɪl/<br>v.失败；失灵；不能<br>例: It looks likely that the peace talks will fail. 看来和平谈判可能会失败。
factor	/'fæktə/<br>n.因素， 因子； 系数<br>例: The rise in crime is mainly due to social and economic factors. 犯罪率上升主要由社会和经济因素造成。
fast	/fɑːst/<br>adj.快的；偏快的  adv.快<br>例: a fast car 速度很快的汽车
similar	/'sɪmələ/<br>adj.相似的， 类似的<br>例: We have similar tastes in music. 我们对音乐的品位相近。
tax	/tæks/<br>n.税，税款；负担  vt.对…征税； 使负担重， 使费尽力气<br>例: No-one enjoys paying tax. 没人喜欢缴税。
various	/'veəriəs/<br>adj.各种各样的， 不同的<br>例: The jacket is available in various colours. 这种夹克有好多种颜色可选。
explain	/ɪk'spleɪn/<br>v.解释；为…辩解<br>例: He carefully explained the procedure. 他仔细解释了程序。
consumption	/kənˈsʌmpʃn/<br>n.消费, 消耗<br>例: Vigorous exercise increases oxygen consumption. 剧烈运动增加氧的消耗。
never	/'nevə/<br>adv.永不，决不；不<br>例: He’s never been to Australia. 他从未去过澳大利亚。
full	/fʊl/<br>adj.满的；完全的<br>例: The train was completely full. 火车坐得满满的。
usually	/ˈjuːʒʊəlɪ/<br>adv.通常，经常<br>例: Women usually live longer than men. 女人通常比男人长寿。
account	/ə'kaunt/<br>vi.说明…的原因； 占…  n.记述；解释；账目<br>例: My salary is paid into my bank account. 我的工资直接存入我的银行账户。
cultural	/'kʌltʃ(ə)r(ə)l/<br>adj.文化的；教养的<br>例: the very real historical and cultural differences between our two societies 我们两个社会之间非常现实的历史和文化差异
image	/'imidʒ/<br>n.形象，声誉，印象<br>例: He had the clearest image in his mind of his mother and father. 他脑海中对父母的印象极其清晰。
computer	/kəm'pjuːtə/<br>n.计算机，电脑<br>例: a huge global computer network 巨大的全球计算机网络
short	/ʃɔːt/<br>adj.短的；不足的；矮的，低的  n.短；缺乏；短路；短裤  adv.不足；突然；唐突地<br>例: a short meeting 一个短会
management	/'mænɪdʒmənt/<br>n.管理； 处理； 管理部门， 管理人员<br>例: a lack of management skills 缺乏管理技巧
prepare	/prɪˈpeə(r)/<br>v.做准备<br>例: The prosecution wanted more time to prepare their case. 原告想要有更多的时间来准备诉讼。
doctor	/'dɒktə/<br>n.医生，医师；博士<br>例: She was treated by her local doctor. 她由她的本区医生治疗。
fish	/fɪʃ/<br>n.鱼，鱼肉  v.钓鱼<br>例: Over 1,500 different species of fish inhabit the waters around the reef. 那片礁石周围的水域生活着1,500多种不同的鱼类。
maintain	/meɪn'teɪn/<br>vt.维持； 维修， 保养； 主张； 赡养<br>例: Careers Officers maintain contact with young people when they have left school. 年轻人离开学校以后，职业指导员和他们保持联系。
beyond	/bɪ'jɒnd/<br>adv.在更远处， 再往后  prep.在…的那边，远于；迟于；越出<br>例: The financing of home ownership will continue through the 1990s and beyond. 房屋产权的融资将持续到20世纪90年代及以后。
determine	/dɪˈtɜ:mɪn/<br>v.决定<br>例: Investigators are still trying to determine the cause of the fire. 调查人员仍在设法弄清失火的原因。
due	/dju:/<br>adj.到期的<br>例: The next income tax payment is due on 31 January. 下一次的所得税支付期限是1月31日。
force	/fɔːs/<br>vt.强迫；用力推动，用力打开  n.军队， 兵力； 暴力， 武力； 力， 力气； 影响力， 效力<br>例: Westerly gales forced the ship off course. 强劲的西风将那艘船吹离了航道。
traditional	/trə'dɪʃ(ə)n(ə)l/<br>adj.传统的；惯例的<br>例: traditional Italian cooking 传统的意大利烹饪
machine	/mə'ʃiːn/<br>n.机器；机械<br>例: Could you get me a coffee from the drinks machine ? 给我从自动饮料机里买一罐咖啡好吗？
sell	/sel/<br>v.销售；推销；出卖；欺骗  n.销售；失望；推销术<br>例: If you offer him another hundred, I think he’ll sell. 如果你再加一百元钱，我想他会卖的。
stay	/steɪ/<br>v.停留；坚持；暂住；停下  n.逗留；停止；支柱<br>例: They stayed all afternoon chatting. 他们待了整个下午聊天。
attract	/ə'trækt/<br>vt.吸引， 引起…注意<br>例: I’m not usually attracted to blondes. 我一般不喜欢金发女子。
teenager	/'tiːneɪdʒə/<br>n.青少年<br>例: a TV sex education series aimed at teenagers 一部针对青少年的性教育电视系列片
present	/'preznt/<br>v.呈现，给予<br>例: She was presented with an award . 她被授予一个奖项。
receive	/rɪ'siːv/<br>v.收到；得到；接待<br>例: All the children will receive a small gift. 每个孩子都会收到一份小礼物。
advantage	/əd'vɑːntɪdʒ/<br>n.优点， 优势； 好处<br>例: Younger workers tend to be at an advantage (=  have an advantage  ) when applying for jobs. 年轻点的工人申请工作时往往处于优势地位。
increasingly	/ɪn'kriːsɪŋlɪ/<br>adv.日益，越来越多地<br>例: Marketing techniques are becoming increasingly sophisticated. 市场营销技巧越来越巧妙。
red	/red/<br>adj.红色的  n.红色<br>例: We painted the door bright red . 我们把门漆成鲜红色。
body	/'bɒdɪ/<br>n.物体<br>例: Keep the caps on the bottles to prevent foreign bodies entering them (= objects that should not be there ) 瓶子要盖好，以免异物进入。
member	/'membə/<br>n.成员，会员<br>例: The majority of union members voted in favour of a strike. 大多数工会成员投票赞成罢工。
influence	/'ɪnflʊəns/<br>n.势力，权势<br>例: He used his influence to get his son into medical school. 他利用权势把儿子弄进了医学院。
livestock	/'laɪvstɒk/<br>n.牲畜；家畜<br>例: The heavy rains and flooding killed scores of livestock. 大雨和洪水淹死了许多家畜。
manager	/'mænɪdʒə/<br>n.经理，管理人<br>例: one of our regional managers 我们的一位地区经理
suffer	/'sʌfə(r)/<br>v.受痛苦<br>例: At least he died suddenly and didn’t suffer. 至少他死得突然，没有遭罪。
evidence	/'evɪdəns/<br>n.根据， 证据； 证人<br>例: Murrow’s evidence was enough to convict Hayes of murder. 默罗的证词足以证明海斯犯了谋杀罪。
regard	/rɪ'gɑːd/<br>v.把…看作；尊敬<br>例: He was regarded as the most successful president of modern times. 他被看成是近代最成功的总统。
serious	/'sɪərɪəs/<br>adj.严肃的，严重的；认真的；庄重的；危急的<br>例: the serious problem of unemployment 严重的失业问题
complex	/'kɒmpleks/<br>adj.由许多部分组成的，复合的；复杂的，难懂的  n.综合体， 集合体； 情结， 夸大的情绪反应<br>例: a complex system of highways 复杂的公路网
employer	/ɪm'plɒɪə; em-/<br>n.雇佣者，雇主<br>例: The shoe factory is the largest employer in this area. 这家制鞋厂是本地区最大的雇主。
experiment	/ɪk'sperɪm(ə)nt; ek-/<br>n.实验；试验<br>例: The astronauts are conducting a series of experiments to learn more about how the body adapts to weightlessness. 那些宇航员正在进行一系列实验，以便更多地了解人体如何适应失重状态。
principle	/ˈprɪnsəpl/<br>n.原则<br>例: Schools try to teach children a set of principles. 学校设法教给孩子们一套道德准则。
launch	/lɔ:ntʃ/<br>v.发布，推出<br>例: The company hopes to launch the new drug by next October. 公司希望于明年10月前推出这种新药。
practice	/ˈpræktɪs/<br>n.做法<br>例: religious beliefs and practices 宗教信仰和习俗
graduate	/ˈɡradʒʊeɪt/<br>adj.研究生的  v.毕业  n.毕业生；研究生<br>例: a graduate student 研究生
colleague	/'kɒliːg/<br>n.同事， 同僚<br>例: a colleague of mine from the bank 我在银行的一位同事
device	/dɪ'vaɪs/<br>n.器械， 装置； 设计； 手段， 策略<br>例: modern labour-saving devices 省力的现代设备
certain	/'sɜːt(ə)n; -tɪn/<br>adj.确实的；肯定的<br>例: I felt certain that I’d passed the test. 我感觉自己肯定通过这次测验了。
depend	/dɪ'pend/<br>v.依靠，依赖；相信<br>例: He depended on his writing for his income. 他靠写作谋生。
let	/let/<br>v.允许，让；使<br>例: I can’t come out tonight – my dad won’t let me. 今天晚上我不能出来，我爸爸不允许。
easily	/'iːzɪlɪ/<br>adv.容易地；舒适的<br>例: They won quite easily. 他们赢得相当轻松。
serve	vt.为…服务；招待<br>例: There was only one girl serving customers . 只有一个女孩在接待顾客。
watch	/wɒtʃ/<br>v.观察；注视；看守；警戒  n.手表；监视；守护；值班人<br>例: Do you mind if I watch? 你介意我看着吗？
status	/'steɪtəs/<br>n.地位， 身份； 情形， 状况<br>例: These documents have no legal status in Britain. 这些文件在英国并无法律效力。
source	/sɔːs/<br>n.来源<br>例: They get their money from various sources. 他们从各种途径弄到钱。
love	/lʌv/<br>v.爱，喜欢  n.爱<br>例: I love you, Tracy. 我爱你，特雷西。
limit	/'lɪmɪt/<br>n.限度；限制；范围<br>例: a 55 mph speed limit 55英里的时速限制
store	/stɔː/<br>n.贮藏；贮存品；商店<br>例: At Christmas the stores stay open late. 在圣诞节期间，商店营业到很晚。
screen	/skri:n/<br>v.筛查<br>例: All women over 50 will be regularly screened. 所有50岁以上女性都将定期接受检查。
survey	/'sɜːveɪ/<br>v.俯瞰， 眺望； 全面审视， 调查； 测量， 勘定  n.[sə'veɪ]<br>例: Of the 100 companies surveyed, 10% had a turnover of £50 m to £99 m. 被调查的 100 家公司中，10% 的公司营业额在 5,000 万到 9,900 万英镑之间。
internet	/'ɪntənet/<br>n.因特网
unique	/juː'niːk/<br>adj.无可匹敌的；极好的<br>例: a unique opportunity to study these rare creatures 研究这些珍稀动物的难得机会
subject	/ˈsʌbdʒɪkt/<br>v.使隶属<br>例: The Roman Empire subjected most of Europe to its rule. 罗马帝国把欧洲多数地区置于自己的统治之下。
financial	/faɪ'nænʃl/<br>adj.财政的， 金融的<br>例: financial transactions 财务往来
slow	/sləʊ/<br>adj.慢的,不活跃的  v.(down)(使)放慢,减速<br>例: The car was travelling at a very slow speed. 汽车正以非常慢的速度行驶。
balance	/'bæl(ə)ns/<br>v.使平衡；称  n.天平<br>例: Job losses in manufacturing were balanced by job increases in the service sector. 制造业职位减少了，而服务行业就业机会却增加了，正好相抵。
earth	/ɜːθ/<br>n.地球；陆地，地面<br>例: the planet Earth 地球
oil	/ɒɪl/<br>n.油；石油  v.加油于<br>例: a rise in the price of oil 石油价格的上涨
difficult	/'dɪfɪk(ə)lt/<br>adj.难以满足的<br>例: Don’t be so difficult! 别这么挑剔！
note	/nəʊt/<br>n.笔记；便条；注释<br>例: Can I borrow your lecture notes? 我能不能借用一下你的课堂笔记？
solution	/səˈlu:ʃn/<br>n.解决，溶液<br>例: The best solution would be for them to separate. 最好的解决方法是他们分开。
explore	/ɪk'splɔː/<br>v.探险， 探索； 仔细查阅， 探究<br>例: Management need to explore ways of improving office security. 管理层需要探讨如何加强办事处的安全措施。
address	/ə'dres/<br>v.解决
matter	/'mætə(r)/<br>v.重要；要紧<br>例: If I have to stay late at work tonight, it won’t matter because we can go out another night. 如果今晚我必须工作到很晚的话，那也没关系，我们可以改天晚上再出去。
top	/tɒp/<br>n.顶部，顶端；上部；首席；陀螺  v.高出，超越；结束；达到顶点  adj.最高的，顶上的；头等的<br>例: a low wooden table with a glass top 玻璃桌面的矮木桌
month	/mʌnθ/<br>n.月，月份<br>例: I hope I’ll have finished the work by the end of the month . 我希望我这个月底能完成工作。
tech	/tek/<br>n.技术；科技（technology 的缩写）<br>例: The tech industry is growing fast. 科技行业发展迅速。
plant	/plɑːnt/<br>n.工厂<br>例: a huge chemical plant 一座大型化工厂
along	/ə'lɒŋ/<br>prep.沿着  adv.向前<br>例: We were driving along Follyfoot Road. 我们沿着福莱福特路行驶。
strategy	/'strætədʒɪ/<br>n.策略<br>例: the government’s long-term economic strategy 政府的长期经济策略
appeal	/əˈpiːl/<br>n.请求，呼吁, 上诉<br>例: The girl’s family have made a public appeal for help to try and catch her killer. 那名遇害女孩的家人吁请公众协助捉拿凶手。
variety	/və'raɪətɪ/<br>n.多样<br>例: The girls come from a variety of different backgrounds. 这些女孩出身背景各不相同。
kid	/kɪd/<br>n.小孩，儿童，少年<br>例: She’d always loved animals since she was a little kid. 她从小就喜爱动物。
copy	/'kɒpɪ/<br>n.抄件  v.抄写，复制<br>例: back-up copies of your files 你的文档的备份
private	/'praɪvət/<br>adj.私人的<br>例: Morris has a private jet. 莫里斯拥有一架私人喷气式飞机。
exercise	/'eksəsaɪz/<br>n.锻炼，训练  v.练习<br>例: Try to fit some regular exercise into your daily routine. 尽量在日常生活中安排一些经常性的锻炼。
manage	/'mænɪdʒ/<br>v.管理；设法；对付<br>例: He was asked to manage a new department. 他被要求去管理一个新的部门。
income	/'ɪnkʌm/<br>n.收入；收益；进款<br>例: low-income families 低收入家庭
agriculture	/'ægrɪkʌltʃə/<br>n.农业，农艺；农学<br>例: More than 75% of the land is used for agriculture. 75%以上的土地用于农耕。
fall	/fɔːl/<br>v.变成，成为，陷入<br>例: He had fallen asleep on the sofa. 他在沙发上睡着了。
cut	/kʌt/<br>v.切，割，剪；减少<br>例: They’re introducing CCTV cameras in an attempt to cut street crime in the area. 为了减少该地区的街头犯罪，他们安装了闭路电视摄像机。
really	adv.真正地；实在
agree	/ə'griː/<br>v.同意；持相同意见<br>例: Teenagers and their parents rarely agree. 十几岁的孩子跟父母意见很少一致。
connect	/kə'nekt/<br>v.连接，连结；联系<br>例: We’d like two rooms with connecting doors (= doors that join the rooms ) . 我们想要两个有门相通的房间。
engage	/ɪn'ɡeɪdʒ/<br>v.忙于，从事；雇佣<br>例: I have never engaged in drug trafficking. 我从来没有从事过贩毒。
key	/kiː/<br>n.钥匙；键；答案<br>例: A bunch of keys hung from his belt. 他的皮带上挂着一串钥匙。
event	/ɪ'vent/<br>n.事件，大事；事变<br>例: one of the most important events in the history of mankind 人类历史上最重大的事件之一
trend	/trend/<br>n.趋势<br>例: The current trend is towards more part-time employment. 当前的趋势是雇用更多的兼职人员。
reality	/rɪ'ælɪtɪ/<br>n.现实；真实<br>例: the distinction between fantasy and reality 幻想和现实之间的区别
reward	/rɪ'wɔːd/<br>n.报答，奖赏；报酬，酬金  vt.报答， 酬谢， 奖励<br>例: The school has a system of rewards and punishments to encourage good behaviour. 学校有奖惩制度以鼓励良好行为。
ensure	/ɪn'ʃʊə(r)/<br>v.确保<br>例: facilities to ensure the safety of cyclists 确保骑车人安全的设施
popular	/'pɒpjʊlə/<br>adj.民众的；流行的<br>例: Hilary was popular at school. 希拉里在学校里很受欢迎。
within	/wɪð'ɪn/<br>prep.在…之内  adv.在内部  n.里面<br>例: We should have the test results back within 24 hours. 我们24小时之内应该可以拿到化验结果。
next	/nekst/<br>adj.紧接的；贴近的<br>例: Grace sighed so heavily that Trish could hear it in the next room. 格雷丝沉重地叹气，特蕾什在隔壁房间都听到了。
expensive	/ɪk'spensɪv; ek-/<br>adj.昂贵的，花钱多的<br>例: the most expensive restaurant in town 城里最贵的餐馆
sometimes	/'sʌmtaɪmz/<br>adv.不时，有时，间或<br>例: I sometimes have to work late. 我有时得工作到很晚。
label	/'leɪbl/<br>n.标签，标记，符号  vt.贴标签于； 把…称为<br>例: a luggage label 行李标签
campus	/'kæmpəs/<br>n.校园，学校场地<br>例: a beautiful campus in New England 新英格兰的一个美丽校园
creative	/kriː'eɪtɪv/<br>adj.创造性的，创作的<br>例: This job is so boring. I wish I could do something more creative. 这工作太单调了，我希望能做些更有创造性的事情。
concept	/'kɒnsept/<br>n.概念， 观念； 设想<br>例: a new concept in business travel 商务旅行的新理念
video	/'vɪdɪəʊ/<br>adj.录像的<br>例: video production 录像制作
board	/bɔ:d/<br>n.董事会<br>例: a board meeting 董事会会议
network	/'netwɜːk/<br>n.网络；广播网<br>例: a high-speed European rail network 欧洲的高速铁路网
check	/tʃek/<br>v.检查；阻止<br>例: Check the tiles carefully before you buy them. 购买之前要把瓷砖仔细检查一下。
current	/'kʌrənt/<br>adj.当前的，通用的；流行的，流传的  n.潮流； 电流； 趋势， 倾向<br>例: the current President 现任总统
sign	/saɪn/<br>n.征兆，迹象，病症<br>例: A paw print in the dust was a sign that a tiger was close. 沙土里的一个爪印表明附近有老虎。
argue	/'ɑːgjuː/<br>vi.争论，争辩，辩论  vt.主张； 说服<br>例: We could hear the neighbours arguing. 我们听到邻居在争吵。
protection	/prə'tekʃ(ə)n/<br>n.保护，警戒<br>例: protection money 保护费
throughout	/θruː'aʊt/<br>prep.遍及  adv.到处<br>例: a large organization with offices throughout the world 在世界各地都设有办事处的一家大型机构
modern	/'mɒd(ə)n/<br>adj.现代的，近代的<br>例: Such companies must change if they are to compete in the modern world . 此类公司如果想在现代社会中与别人竞争，就必须有所改变。
relate	/rɪ'leɪt/<br>v.叙述；使联系<br>例: I don’t understand how the two ideas relate. 我不明白这两个观点有什么联系。
sound	/saʊnd/<br>adj.健康的；完好的<br>例: a sound understanding of money and banking systems 对货币和银行业体制的透彻理解
analysis	/ə'næləsɪs/<br>n.分析， 分析报告； 分解， 解析<br>例: She’s been in analysis for three years. 她接受精神分析治疗已经三年了。
conflict	/'kɒnflɪkt/<br>n.冲突<br>例: the threat of industrial conflict in the coalfields 煤田发生劳资纠纷的风险
professional	/prə'feʃənl/<br>adj.职业的，专业的，专门的  n.自由职业者， 专业人员<br>例: This business plan looks very professional. 这个商业计划看上去很有专业水平。
basic	/'beɪsɪk/<br>adj.基本的，基础的<br>例: the basic principles of chemistry 化学的基本原理
responsible	/rɪ'spɒnsɪb(ə)l/<br>adj.可靠的；责任重大的<br>例: You can leave the children with Billy – he’s very responsible. 你可以把孩子交给比利，他非常可靠。
monitor	/'mɒnɪtə/<br>n.班长；监视器，检测器；显示器  vt.监听， 检测<br>例: a heart monitor 心脏监测仪
production	/prə'dʌkʃ(ə)n/<br>n.生产；产品；总产量<br>例: That model won't go into production before late 2007. 那种型号要到2007年底才会投入生产。
inequality	/ɪnɪ'kwɒlɪtɪ/<br>n.不平等；不同；不平均<br>例: People are concerned about corruption and social inequality. 人们对腐败和社会不公感到担忧。
grade	/greɪd/<br>v.给…分等级  n.等级<br>例: All the parks are regularly checked and graded by tourist board inspectors. 所有公园都由旅游协会的检查员进行定期检查和评级。
sit	/sɪt/<br>v.坐；位于  n.(Sit)人名；(东南亚国家华语)硕；(罗)西特<br>例: The parliament building sits in a large square. 议会大楼位于一个大广场上。
international	/ɪntə'næʃ(ə)n(ə)l/<br>adj.国际的，世界(性)的<br>例: the response of the international community 国际社会的反响
respect	/rɪ'spekt/<br>n.尊敬；尊重；问候；方面  vt.尊敬； 尊重<br>例: The boys showed a complete lack of respect for authority. 这些男孩子根本无视权威。
actor	/'æktə/<br>n.男演员；演剧的人<br>例: His father was an actor in the Cantonese Opera Company. 他父亲曾是粤剧团的一名演员。
nature	/'neɪtʃə/<br>n.大自然；本性；性质<br>例: We grew up in the countryside, surrounded by the beauties of nature. 我们在乡村长大，周围是美丽的大自然。
seek	/siːk/<br>v.寻找，探索；试图<br>例: new graduates seeking employment 正在求职的刚毕业的大学生
perhaps	/pə'hæps/<br>adv.也许，可能，多半<br>例: Perhaps she’s next door. 她也许在隔壁。
alone	/ə'ləʊn/<br>adj.单独的  adv.单独地<br>例: She lives alone . 她一个人生活。
several	/ˈsevrəl/<br>adj.几个的；各自的  pron.几个；数个<br>例: They shook hands and went their several ways (= went in different directions ) . 他们握了握手便各自走了。
ever	/'evə/<br>adv.在任何时候；曾经<br>例: Nothing ever seems to upset him. 似乎从来没有什么事情会使他烦恼。
perform	/pə'fɔːm/<br>v.履行，执行；演出<br>例: Chenier and the band are performing at the Silver Palace tomorrow. 车尼尔和乐队明天将在银宫演出。
billion	/'bɪljən/<br>num.万亿(英)<br>例: The final cost could be as much as one billion dollars. 最后的费用可能高达十亿美元。
rely	/rɪ'laɪ/<br>vi.依靠， 依赖； 信赖， 指望<br>例: They relied heavily on the advice of their professional advisers. 他们非常依赖专业顾问的建议。
deal	/diːl/<br>v.买卖毒品<br>例: Many users end up dealing to support their habit. 许多吸毒者最后都是靠做毒品买卖来供自己吸毒。
per	/pɜː/<br>prep.每<br>例: The park attracts four million visitors per year. 那座公园每年吸引400万游客。
apply	/ə'plaɪ/<br>vi.应用，实施，使用；适用；申请，请求  vt.涂， 敷， 施<br>例: We need to apply for planning permission to build a garage. 我们建车库需要申请规划许可。
boost	/bu:st/<br>v.提高<br>例: So go out there and boost your brainpower, your mind will thank you. 所以走出去提升你的智力，你的思想会感谢你自己。
hope	/həʊp/<br>n&vt&vi.希望<br>例: I do hope everything goes well. 我真心希望一切顺利。
senior	/'siːnɪə/<br>n.老年人<br>例: Seniors can get a 10% discount. 老年人可以享受10%的折扣。
majority	/mə'dʒɒrətɪ/<br>n.大多数<br>例: The Labour Party won a huge majority at the last general election. 工党在上次大选中以巨大的票数优势获胜。
observe	/əb'zɜːv/<br>v.说，评述，评论<br>例: ‘Sid looks ill,’ Doherty observed. “锡德看上去病了。”多尔蒂说道。
people's	/ˈpiːplz/<br>人民的；大众的（people 的所有格）<br>例: It is the people's right to vote. 投票是人民的权利。
post	/pəʊst/<br>n.柱，桩，杆  v.贴出<br>例: a fence post 篱笆桩
professor	n.教授<br>例: The professor improvised a poem in the class. 教授在课堂上即兴创作了一首诗。
quite	/kwaɪt/<br>adv.完全；相当；的确<br>例: I felt quite bitter about it at the time. 当时我对此感到相当痛苦。
tourist	/'tʊərɪst/<br>n.旅游者，观光者<br>例: Cambridge is always full of tourists in the summer. 剑桥在夏季总是挤满了游客。
insect	/'ɪnsekt/<br>n.昆虫， 虫<br>例: an insect bite 昆虫的叮咬
classical	/'klæsɪkl/<br>adj.古典的， 经典的<br>例: the classical theory of relativity 经典相对论
audience	/'ɔːdɪəns/<br>n.正式会见；拜会<br>例: He was granted an audience with the Pope. 他获准觐见教皇。
female	/'fiːmeɪl/<br>n.雌性的动物；女子<br>例: As a group, females performed better on the test than males. 整体来说，女性在这次测试中胜过男性。
method	/'meθəd/<br>n.方法，办法；教学法<br>例: traditional teaching methods 传统的教学法
desire	/dɪ'zaɪə/<br>vt.想要，渴望  n.愿望， 欲望<br>例: The hotel has everything you could possibly desire . 这家酒店里你想要的东西应有尽有。
generally	/'dʒen(ə)rəlɪ/<br>adv.一般地；通常地<br>例: Generally speaking, the more expensive the stereo, the better it is. 一般说来，立体声音响越贵的越好。
diet	/'daɪət/<br>n.日常饮食，日常食物<br>例: She doesn’t eat a very healthy diet. 她的饮食不是很健康。
adolescent	/ˌædə'lesnt/<br>adj.青春期的； 青少年的  n.青少年<br>例: It is important that an adolescent boy should have an adult in whom he can confide. 一个青春期男孩应该有一个他能倾吐心声的成年人，这是很重要的。
ideal	/aɪ'diːəl/<br>adj.理想的，观念的，空想的  n.理想， 理想的东西<br>例: advice on how to reach your ideal weight 如何达到理想体重的建议
ecosystem	/'iːkəʊsɪstəm/<br>n.生态系统<br>例: ...the forest ecosystem. …森林生态系统。
sea	/siː/<br>n.海；海洋；许多；大量<br>例: Jay stripped his clothes off and ran into the sea. 杰伊脱光衣服奔入海里。
land	/lænd/<br>n.陆地；土地  v.上岸<br>例: They own a lot of land. 他们拥有许多土地。
baby	/'beɪbɪ/<br>n.一家中年龄最小的人<br>例: Clare is the baby of the family. 克莱尔是家里最小的孩子。
user	/'juːzə/<br>n.用户<br>例: road users 道路使用者
amount	/ə'maʊnt/<br>n.总数；数量；和<br>例: Please pay the full amount (=  of money  ) by the end of the month. 请在月底前全额付清。
trade	/treɪd/<br>v.做买卖；交换<br>例: They had to travel into town to trade the produce from their farm. 他们不得不到镇上去出售他们农场的产品。
interaction	/ˌɪntər'ækʃn/<br>n.互动<br>例: But you only get the maximum benefit if you implement all of them, because their power comes from their interaction. 但您只能在实现所有方法的情况下获得最大收益，因为它们的力量来自它们之间的交互。
disease	/dɪ'ziːz/<br>n.病， 疾病； 不健全， 弊端<br>例: His father died of heart disease. 他父亲死于心脏病。
paint	/peɪnt/<br>v.画；油漆  v.绘画<br>例: The ceiling needs painting. 天花板需要粉刷了。
describe	/dɪ'skraɪb/<br>vt.形容， 描写； 画出<br>例: The police asked her to describe the man. 警察叫她描述一下那名男子。
aim	/eɪm/<br>v.瞄准，针对；致力<br>例: Denver aimed his gun but did not shoot. 丹佛举枪瞄准，但是没有射击。
signal	/'sɪɡnəl/<br>v.标志
shop	/ʃɒp/<br>n.商店；店铺  v.购物<br>例: a barber’s shop 理发店
significant	/sɪgˈnɪfɪkənt/<br>adj.重要的<br>例: His most significant political achievement was the abolition of the death penalty. 他政治上最重大的成就是废除了死刑。
add	/æd/<br>v.添加，附加，掺加<br>例: If the mixture seems dry, add water. 如果混合物看上去干，加点水。
psychology	n.心理学；心理<br>例: experts in the field of developmental psychology 发展心理学领域的专家
introduce	/ɪntrə'djuːs/<br>v.提出（议案等）<br>例: Several senators introduced legislation aimed at sexual harassment. 几位参议员提交了针对性骚扰的立法议案。
type	/taɪp/<br>n.型，类型  v.打字<br>例: Jo’s not really the sporty type. 乔可不是那种喜欢运动的人。
occur	/əˈkɜ:(r)/<br>v.发生<br>例: A third of accidental deaths occur in the home. 有三分之一的意外死亡发生在家里。
region	/'riːdʒən/<br>n.地区， 地带， 区域； 范围， 幅度<br>例: efforts to bring peace to the region 给这个地区带来和平的努力
spider	/'spaɪdə/<br>n.蜘蛛<br>例: What should I find but an enormous spider! 我居然发现了一只巨大的蜘蛛！
pressure	/'preʃə/<br>n.大气压力<br>例: A ridge of high pressure is building up strongly over the Atlantic. 一个强大的高压脊正在大西洋上空形成。
safe	/seɪf/<br>adj.安全的；可靠的；平安的  n.保险箱；冷藏室；纱橱<br>例: She doesn’t feel safe in the house on her own. 她独自一人在家感到不安全。
adopt	/ə'dɒpt/<br>v.采纳<br>例: The courts were asked to adopt a more flexible approach to young offenders. 法庭被要求对少年犯采取更为灵活的处理方法。
TRUE	/truː/<br>adj.真实的；正确的  adv.真实地；准确地  n.真实；准确  v.装准<br>例: Everything I had heard about him was true. 我所听到的关于他的一切都是真的。
wealth	/welθ/<br>n.财富； 财产； 丰富<br>例: The country’s wealth comes from its oil. 这个国家的财富来自石油。
supply	/sə'plaɪ/<br>n&vt.供给， 供应<br>例: The nation’s fuel supplies will not last forever. 这个国家的燃料供应不会无穷无尽。
rat	/ræt/<br>n.老鼠，耗子<br>例: But you promised to help us, you rat! 可你答应过要帮我们的，你这小人！
